Período de referência dos dados,Atividade económica (CAE Rev. 3),Índices de preços na produção industrial - Total - bruto (Base - 2015) por Atividade económica (CAE Rev. 3); Mensal
Janeiro de 2017,Total,100.09
Dezembro de 2016,Total,98.7
Novembro de 2016,Total,97.96
Outubro de 2016,Total,97.95
Setembro de 2016,Total,97.51
Agosto de 2016,Total,97.49
Julho de 2016,Total,97.76
Junho de 2016,Total,97.45
Maio de 2016,Total,96.3
Abril de 2016,Total,95.89
Março de 2016,Total,95.91
Fevereiro de 2016,Total,96.07
Janeiro de 2016,Total,97.18
Dezembro de 2015,Total,97.34
Novembro de 2015,Total,98.04
Outubro de 2015,Total,98.97
Setembro de 2015,Total,99.43
Agosto de 2015,Total,100.83
Julho de 2015,Total,101.65
Junho de 2015,Total,101.69
Maio de 2015,Total,101.81
Abril de 2015,Total,101.36
Março de 2015,Total,100.75
Fevereiro de 2015,Total,99.43
Janeiro de 2015,Total,98.72
Dezembro de 2014,Total,98.82
Novembro de 2014,Total,100.62
Outubro de 2014,Total,101.94
Setembro de 2014,Total,103.15
Agosto de 2014,Total,103.67
Julho de 2014,Total,103.78
Junho de 2014,Total,103.4
Maio de 2014,Total,102.85
Abril de 2014,Total,102.4
Março de 2014,Total,102.63
Fevereiro de 2014,Total,103.11
Janeiro de 2014,Total,103.18
Dezembro de 2013,Total,103.3
Novembro de 2013,Total,102.73
Outubro de 2013,Total,103.8
Setembro de 2013,Total,104.66
Agosto de 2013,Total,105.6
Julho de 2013,Total,105.3
Junho de 2013,Total,104.01
Maio de 2013,Total,103.72
Abril de 2013,Total,103.68
Março de 2013,Total,104.83
Fevereiro de 2013,Total,105.33
Janeiro de 2013,Total,105
Dezembro de 2012,Total,104.26
Novembro de 2012,Total,105.49
Outubro de 2012,Total,106.14
Setembro de 2012,Total,107.54
Agosto de 2012,Total,106.78
Julho de 2012,Total,105.37
Junho de 2012,Total,104.2
Maio de 2012,Total,103.77
Abril de 2012,Total,104.01
Março de 2012,Total,103.97
Fevereiro de 2012,Total,103.8
Janeiro de 2012,Total,103.07
Dezembro de 2011,Total,101.35
Novembro de 2011,Total,101.48
Outubro de 2011,Total,101.77
Setembro de 2011,Total,102.52
Agosto de 2011,Total,102.54
Julho de 2011,Total,102.3
Junho de 2011,Total,101.54
Maio de 2011,Total,101.65
Abril de 2011,Total,101.32
Março de 2011,Total,99.44
Fevereiro de 2011,Total,99.11
Janeiro de 2011,Total,98.63
Dezembro de 2010,Total,98.05
Novembro de 2010,Total,96.53
Outubro de 2010,Total,96.28
Setembro de 2010,Total,96.36
Agosto de 2010,Total,95.91
Julho de 2010,Total,95.77
Junho de 2010,Total,94.69
Maio de 2010,Total,94.8
Abril de 2010,Total,94.79
Março de 2010,Total,93.97
Fevereiro de 2010,Total,91.96
Janeiro de 2010,Total,92.05
